code,ACE
AL051940,15.8175
AL051941,16.9
AL051942,5.01
AL051943,2.8675
AL051944,2.795
AL051945,12.1675
AL051946,7.04
AL051947,1.06
AL051948,3.3425
AL051949,1.5175
AL051950,16.3525
AL051951,7.135
AL051952,3.2075
AL051953,0.735
AL051954,1.6925
AL051955,1.4175
AL051956,1.9225
AL051957,0.98
AL051958,10.61
AL051959,3.545
AL051960,59.205
AL051961,49.0825
AL051962,17.18
AL051963,5.2825
AL051964,43.25
AL051965,1.8525
AL051966,2.2325
AL051968,8.26
AL051969,0.0
AL051970,0.0
AL051971,0.0
AL051972,0.0
AL051973,0.0
AL051974,2.18
AL051975,0.0
AL051976,0.0
AL051977,12.77
AL051978,1.1675
AL051979,0.0
AL051980,0.0
AL051981,0.0
AL051982,1.2875
AL051983,4.2725
AL051984,1.47
AL051985,16.82
AL051986,11.475
AL051987,2.35
AL051988,1.2875
AL051989,16.235
AL051990,5.29
AL051991,0.0
AL051992,23.3975
AL051993,23.1025
AL051994,0.0
AL051995,9.175
AL051996,52.6175
AL051997,7.7425
AL051998,8.4775
AL051999,21.1025
AL052000,0.89
AL052001,3.705
AL052002,1.89
AL052003,4.5575
AL052004,0.7725
AL052005,34.755
AL052006,2.3075
AL052007,0.74
AL052008,1.6975
AL052009,2.125
AL052010,0.0
AL052011,2.3025
AL052012,10.1625
AL052013,1.545
AL052014,1.2475
AL052015,2.7025
AL052016,5.4025
AL052017,0.7675
AL052018,2.2225
AL052019,58.3975
AL052020,1.3275
AL052021,11.5025
AL052022,15.825
AL052023,7.715
AL052024,16.2575
AL061851,4.86
AL061853,9.56
AL061856,7.54
AL061858,11.4
AL061859,19.56
AL061860,8.29
AL061861,5.32
AL061862,4.42
AL061863,4.36
AL061865,0.49
AL061866,40.86
AL061867,5.99
AL061869,10.13
AL061870,25.88
AL061871,6.83
AL061874,8.03
AL061875,6.66
AL061877,6.0
AL061878,17.14
AL061879,7.01
AL061880,8.16
AL061881,10.51
AL061882,21.75
AL061885,7.73
AL061886,37.105
AL061887,21.3825
AL061888,4.87
AL061889,24.5125
AL061891,16.3025
AL061892,2.22
AL061893,43.825
AL061894,30.4825
AL061895,1.8375
AL061896,33.065
AL061897,8.935
AL061898,7.8375
AL061899,4.5475
AL061900,2.515
AL061901,6.3475
AL061903,9.8275
AL061904,3.17
AL061906,17.67
AL061908,29.1
AL061909,22.715
AL061911,3.24
AL061912,9.745
AL061913,2.2175
AL061915,38.6025
AL061916,19.01
AL061918,2.7975
AL061921,28.81
AL061923,4.4625
AL061924,1.4125
AL061926,0.8575
AL061927,1.685
AL061928,8.915
AL061931,10.4225
AL061932,7.5875
AL061933,34.66
AL061934,1.8975
AL061935,8.415
AL061936,2.8025
AL061937,22.09
AL061938,43.905
AL061939,9.9725
AL061940,2.735
AL061941,1.7375
AL061942,4.0925
AL061943,7.965
AL061944,1.9525
AL061945,2.7525
AL061946,7.965
AL061947,5.105
AL061948,26.1375
AL061949,10.045
AL061950,26.9125
AL061951,36.9575
AL061952,14.75
AL061953,9.125
AL061954,16.4675
AL061955,16.3225
AL061956,1.23
AL061957,2.21
AL061958,5.8925
AL061959,1.065
AL061960,6.13
AL061961,2.18
AL061962,5.115
AL061963,8.1975
AL061964,33.675
AL061965,11.6825
AL061966,45.165
AL061968,0.0
AL061969,6.48
AL061971,5.1125
AL061972,0.0
AL061973,0.65
AL061974,3.1975
AL061975,0.0
AL061976,2.4625
AL061977,2.3125
AL061978,4.405
AL061979,1.62
AL061980,8.955
AL061981,1.9575
AL061982,18.405
AL061983,3.605
AL061984,1.3
AL061985,0.0
AL061986,0.0
AL061987,0.0
AL061988,1.6875
AL061989,0.0
AL061990,1.5825
AL061991,15.335
AL061992,12.0725
AL061993,2.1425
AL061994,1.6675
AL061995,0.0
AL061996,23.8875
AL061997,0.0
AL061998,1.635
AL061999,2.42
AL062000,0.1225
AL062001,22.4025
AL062002,1.575
AL062003,0.0
AL062004,53.7775
AL062005,7.6475
AL062006,7.445
AL062007,20.4825
AL062008,9.035
AL062009,1.4175
AL062010,23.595
AL062011,0.6875
AL062012,1.5125
AL062013,0.905
AL062014,15.915
AL062015,5.5275
AL062016,3.0275
AL062017,0.8575
AL062018,40.3675
AL062019,0.735
AL062020,1.3475
AL062021,3.14
AL062022,17.775
AL062023,2.8175
AL062024,6.1975
AL071853,0.25
AL071859,3.45
AL071860,10.66
AL071861,0.25
AL071863,1.32
AL071865,16.32
AL071866,1.99
AL071867,18.78
AL071869,20.93
AL071870,0.49
AL071871,10.71
AL071874,7.87
AL071877,3.49
AL071878,50.76
AL071879,7.4
AL071880,5.48
AL071881,7.05
AL071885,5.7
AL071886,12.4475
AL071887,31.2325
AL071888,9.0475
AL071889,5.98
AL071891,4.355
AL071892,25.08
AL071893,21.6725
AL071894,24.2625
AL071896,2.2525
AL071898,25.835
AL071899,2.72
AL071900,2.585
AL071901,28.6425
AL071903,18.6175
AL071906,12.6075
AL071908,2.0625
AL071909,1.0925
AL071912,20.6125
AL071916,6.2925
AL071921,2.2375
AL071923,4.9525
AL071924,6.905
AL071926,41.1875
AL071927,2.0725
AL071931,11.2925
AL071932,9.1975
AL071933,2.035
AL071934,8.9175
AL071935,14.615
AL071936,1.5925
AL071937,3.255
AL071938,4.555
AL071940,10.31
AL071942,1.86
AL071943,2.9525
AL071944,27.6
AL071945,0.49
AL071946,1.0075
AL071947,1.15
AL071948,2.9275
AL071949,1.2475
AL071950,17.6975
AL071951,20.62
AL071952,4.215
AL071953,16.7125
AL071954,5.585
AL071955,2.3325
AL071956,10.13
AL071957,6.925
AL071958,2.1525
AL071959,3.545
AL071960,1.9925
AL071961,21.8825
AL071962,15.5075
AL071963,49.9375
AL071964,20.44
AL071965,4.7575
AL071966,1.2525
AL071969,3.645
AL071970,0.0
AL071971,0.0
AL071972,0.0
AL071973,0.0
AL071974,1.5275
AL071975,5.4025
AL071976,9.5475
AL071977,4.285
AL071978,0.0
AL071979,0.0
AL071980,5.0675
AL071981,0.0
AL071982,0.0
AL071984,0.49
AL071985,0.0
AL071986,0.0
AL071987,2.03
AL071988,4.025
AL071989,14.1825
AL071990,0.49
AL071991,2.0625
AL071992,3.1625
AL071993,7.5725
AL071994,1.5125
AL071995,31.4725
AL071996,2.355
AL071997,29.97
AL071998,45.5125
AL071999,0.0
AL072000,7.165
AL072001,15.22
AL072002,0.0
AL072003,0.0
AL072004,4.4325
AL072005,0.5275
AL072006,16.2375
AL072007,1.79
AL072008,21.145
AL072009,9.925
AL072010,29.51
AL072011,2.295
AL072012,0.2825
AL072013,1.815
AL072014,4.1725
AL072015,1.9075
AL072016,25.04
AL072017,4.425
AL072018,3.17
AL072019,1.0075
AL072020,2.7825
AL072021,10.68
AL072022,34.49
AL072023,1.95
AL072024,1.2525
AL081853,9.34
AL081859,9.78
AL081861,5.59
AL081863,0.91
AL081867,0.16
AL081869,0.36
AL081870,2.94
AL081871,6.62
AL081877,2.28
AL081878,10.14
AL081879,7.95
AL081880,26.7
AL081885,3.68
AL081886,14.5525
AL081887,10.8075
AL081888,6.075
AL081889,6.43
AL081891,5.4075
AL081892,11.0825
AL081893,7.9925
AL081898,1.295
AL081899,1.13
AL081901,10.4025
AL081903,5.6525
AL081906,29.685
AL081908,30.805
AL081909,1.8225
AL081916,8.4875
AL081923,2.62
AL081924,3.03
AL081926,20.58
AL081927,1.97
AL081931,5.855
AL081932,2.2275
AL081933,41.44
AL081934,2.8625
AL081935,4.9425
AL081936,6.59
AL081937,17.54
AL081938,0.8575
AL081940,5.1325
AL081942,5.2725
AL081943,2.805
AL081944,4.6275
AL081945,2.6575
AL081947,3.065
AL081948,28.13
AL081949,2.785
AL081950,1.5725
AL081951,1.895
AL081952,1.13
AL081953,2.265
AL081954,25.095
AL081955,28.83
AL081956,11.63
AL081957,3.3925
AL081958,27.335
AL081959,17.9125
AL081960,0.6875
AL081961,4.52
AL081963,25.3625
AL081964,1.695
AL081965,4.7675
AL081966,0.91
AL081968,3.0475
AL081969,29.2075
AL081970,10.6575
AL081971,1.2875
AL081972,0.0
AL081973,3.9075
AL081974,0.0
AL081975,14.1825
AL081976,1.0125
AL081977,0.0
AL081978,0.0
AL081979,0.0
AL081980,0.0
AL081981,0.0
AL081982,1.8075
AL081984,1.79
AL081985,3.335
AL081986,1.56
AL081987,0.0
AL081988,37.2475
AL081989,11.0
AL081990,23.2525
AL081991,2.0925
AL081992,0.0
AL081993,4.49
AL081994,0.0
AL081995,1.7575
AL081996,22.755
AL081997,1.63
AL081998,0.6875
