code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL041857,44.866744830520396,44.866744830520396,44.866744830520396,44.866744830520396
AL011858,12.406606220290696,12.406606220290696,12.406606220290696,12.406606220290696
AL021858,12.735092339842149,12.735092339842149,12.735092339842149,12.735092339842149
AL031858,13.064056014348983,13.064056014348983,13.064056014348983,13.064056014348983
AL041858,44.103052024087496,44.103052024087496,44.103052024087496,44.103052024087496
AL051858,17.749321014055838,17.749321014055838,17.749321014055838,17.749321014055838
AL061858,24.128318492164613,24.128318492164613,24.128318492164613,24.128318492164613
AL011859,29.998210146599252,29.998210146599252,29.998210146599252,29.998210146599252
AL021859,38.215864092960025,38.215864092960025,38.215864092960025,38.215864092960025
AL031859,36.36944886481058,36.36944886481058,36.36944886481058,36.36944886481058
AL041859,32.08149094215818,32.08149094215818,32.08149094215818,32.08149094215818
AL051859,27.132777807577448,27.132777807577448,27.132777807577448,27.132777807577448
AL061859,14.889488883075884,14.889488883075884,14.889488883075884,14.889488883075884
AL071859,23.134022921411127,23.134022921411127,23.134022921411127,23.134022921411127
AL081859,21.42672757197072,21.42672757197072,21.42672757197072,21.42672757197072
AL011860,20.66534588701353,20.66534588701353,20.66534588701353,20.66534588701353
AL021860,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL041860,13.064056014348983,13.064056014348983,13.064056014348983,13.064056014348983
AL031860,7.9303070178258235,7.9303070178258235,7.9303070178258235,7.9303070178258235
AL051860,31.953168899916506,31.953168899916506,31.953168899916506,31.953168899916506
AL061860,18.75748913650375,18.75748913650375,18.75748913650375,18.75748913650375
AL071860,30.5282160469985,30.5282160469985,30.5282160469985,30.5282160469985
AL011861,42.05284497809822,42.05284497809822,42.05284497809822,42.05284497809822
AL021861,21.51787955320759,21.51787955320759,21.51787955320759,21.51787955320759
AL031861,41.52272150502826,41.52272150502826,41.52272150502826,41.52272150502826
AL041861,41.99917486531966,41.99917486531966,41.99917486531966,41.99917486531966
AL051861,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL061861,49.961365967305106,49.961365967305106,49.961365967305106,49.961365967305106
AL071861,38.83825387929013,38.83825387929013,38.83825387929013,38.83825387929013
AL081861,11.79244967907921,11.79244967907921,11.79244967907921,11.79244967907921
AL011862,36.901617454249575,36.901617454249575,36.901617454249575,36.901617454249575
AL021862,36.42400607370333,36.42400607370333,36.42400607370333,36.42400607370333
AL031862,41.56828140593505,41.56828140593505,41.56828140593505,41.56828140593505
AL041862,38.835398926312365,38.835398926312365,38.835398926312365,38.835398926312365
AL051862,43.0368541509494,43.0368541509494,43.0368541509494,43.0368541509494
AL061862,28.532974356180826,28.532974356180826,28.532974356180826,28.532974356180826
AL011863,5.643569825141066,5.643569825141066,5.643569825141066,5.643569825141066
AL021863,37.74688708951764,37.74688708951764,37.74688708951764,37.74688708951764
AL031863,44.31755108688254,44.31755108688254,44.31755108688254,44.31755108688254
AL041863,31.4520020165199,31.4520020165199,31.4520020165199,31.4520020165199
AL051863,36.36944886481058,36.36944886481058,36.36944886481058,36.36944886481058
AL061863,14.222003737435964,14.222003737435964,14.222003737435964,14.222003737435964
AL071863,29.998210146599252,29.998210146599252,29.998210146599252,29.998210146599252
AL081863,41.7303754556434,41.7303754556434,41.7303754556434,41.7303754556434
