code,name,formation_datetime,formation_lat,formation_lon,ACE,rhum_minus_0_days,rhum_minus_3_days,rhum_minus_7_days,rhum_minus_14_days,sst_minus_0_days,sst_minus_3_days,sst_minus_7_days,sst_minus_14_days,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL011967,UNNAMED,1967-06-10 12:00:00,17.0,275.0,0.0,83.52588653564453,80.47854614257812,81.04656982421875,60.00990676879883,28.190000534057617,28.190000534057617,28.190000534057617,27.58500099182129,18.060928539515608,18.060928539515608,18.060928539515608,18.060928539515608
AL031967,UNNAMED,1967-06-15 18:00:00,29.0,286.0,1.95,53.87432098388672,38.42243957519531,37.511959075927734,46.669639587402344,25.775001525878903,25.775001525878903,25.775001525878903,25.775001525878903,31.4520020165199,31.4520020165199,31.4520020165199,31.4520020165199
AL271967,UNNAMED,1967-06-20 00:00:00,30.0,282.0,0.97,75.92752838134766,65.59036254882812,52.03179168701172,66.68062591552734,26.948001861572266,26.948001861572266,26.948001861572266,26.948001861572266,28.1828528753128,28.1828528753128,28.1828528753128,28.1828528753128
AL111967,ARLENE,1967-08-28 18:00:00,15.8,324.2,8.045,63.22763442993164,50.868743896484375,55.86175537109375,58.81194305419922,26.035001754760746,26.035001754760746,26.035001754760746,26.035001754760746,37.45531754540088,37.45531754540088,37.45531754540088,37.45531754540088
AL281967,UNNAMED,1967-09-01 12:00:00,14.5,335.0,0.49,76.46841430664062,40.608673095703125,65.55552673339844,56.90565872192383,26.990001678466797,26.580001831054688,26.580001831054688,26.580001831054688,28.7687836176643,28.7687836176643,28.7687836176643,28.7687836176643
AL141967,DORIA,1967-09-04 18:00:00,31.0,282.0,15.9475,84.72647094726562,61.0683708190918,48.2978401184082,44.683963775634766,27.915000915527344,27.915000915527344,28.56300163269043,28.56300163269043,28.1828528753128,28.1828528753128,28.1828528753128,28.1828528753128
AL121967,CHLOE,1967-09-04 18:00:00,15.0,341.0,31.675,75.53443145751953,69.56001281738281,44.24372482299805,63.7070198059082,27.900001525878903,27.900001525878903,27.5830020904541,27.5830020904541,26.326077720846907,26.326077720846907,26.326077720846907,26.326077720846907
AL131967,BEULAH,1967-09-05 12:00:00,13.4,303.0,42.6875,57.503292083740234,42.214874267578125,41.184532165527344,47.56380844116211,28.420001983642575,28.420001983642575,27.703001022338867,27.703001022338867,40.85750000358757,40.85750000358757,40.85750000358757,40.85750000358757
AL151967,UNNAMED,1967-09-19 12:00:00,13.0,341.0,0.0,79.70210266113281,73.40032196044922,80.30342102050781,77.0748062133789,27.698001861572266,27.698001861572266,27.698001861572266,27.698001861572266,31.8252700249077,31.8252700249077,31.8252700249077,31.8252700249077
AL161967,UNNAMED,1967-09-25 00:00:00,12.0,333.0,1.62,80.44107818603516,71.62809753417969,71.70780944824219,57.413108825683594,27.16800117492676,27.16800117492676,27.16800117492676,27.16800117492676,37.42691196089216,37.42691196089216,37.42691196089216,37.42691196089216
