code,size_34kt_sqkm,size_50kt_sqkm,size_64kt_sqkm,size_max_sqkm
AL061999,,,,
AL062000,,,,
AL062001,,,,
AL062002,,,,
AL062003,,,,
AL062004,1034434.6760561516,509674.585181833,196380.95803253504,9697.825088026422
AL062005,266690.18992072664,67884.77561618495,,
AL062006,293089.8248825763,43101.444835672984,,
AL062007,263996.3496184971,91590.5702758051,35558.69198943021,
AL062008,495666.6156102394,48489.125440132106,,
AL062009,323260.8362675474,,,
AL062010,3685173.5334500405,543078.2049294796,123916.65390255985,
AL062011,37713.76423121387,,,
AL062012,106676.07596829064,16163.041813377371,,
AL062013,38791.30035210569,,,
AL062014,968704.9726817504,329726.05299289833,96978.25088026423,
AL062015,168095.63485912466,45256.51707745664,6734.600755573905,
AL062016,51721.73380280758,,,
AL062017,32326.083626754742,4310.144483567298,,
AL062018,906207.8776700246,329726.05299289833,155165.20140842276,6734.600755573905
AL062019,67884.77561618495,,,
AL062020,275849.2469483071,,,
AL062021,196111.5740023121,37713.76423121387,,107753.61208918248
AL062022,5353199.448590585,1124947.7102110651,206886.93521123033,211197.0796947977
AL062023,45256.517077456636,,,52799.26992369942
AL062024,504286.90457737393,106676.07596829064,35558.69198943021,107753.61208918248
AL071853,,,,
AL071859,,,,
AL071860,,,,
AL071861,,,,
AL071863,,,,
AL071865,,,,
AL071866,,,,
AL071867,,,,
AL071869,,,,
AL071870,,,,
AL071871,,,,
AL071874,,,,
AL071877,,,,
AL071878,,,,
AL071879,,,,
AL071880,,,,
AL071881,,,,
AL071885,,,,
AL071886,,,,
AL071887,,,,
AL071888,,,,1077.5361208918246
AL071889,,,,
AL071891,,,,
AL071892,,,,
AL071893,,,,
AL071894,,,,
AL071896,,,,
AL071898,,,,4310.144483567298
AL071899,,,,
AL071900,,,,
AL071901,,,,
AL071903,,,,
AL071906,,,,
AL071908,,,,
AL071909,,,,
AL071912,,,,
AL071916,,,,
AL071921,,,,
AL071923,,,,
AL071924,,,,
AL071926,,,,4310.144483567298
AL071927,,,,
AL071931,,,,
AL071932,,,,
AL071933,,,,
AL071934,,,,
AL071935,,,,1077.5361208918246
AL071936,,,,
AL071937,,,,
AL071938,,,,
AL071940,,,,
AL071942,,,,
AL071943,,,,
AL071944,,,,9697.825088026422
AL071945,,,,
AL071946,,,,
AL071947,,,,
AL071948,,,,
AL071949,,,,
AL071950,,,,
AL071951,,,,
AL071952,,,,
AL071953,,,,
AL071954,,,,
AL071955,,,,
AL071956,,,,4310.144483567298
AL071957,,,,
AL071958,,,,
AL071959,,,,
AL071960,,,,
AL071961,,,,
AL071962,,,,
AL071963,,,,
AL071964,,,,
AL071965,,,,
AL071966,,,,
AL071969,,,,
AL071970,,,,
AL071971,,,,
AL071972,,,,
AL071973,,,,
AL071974,,,,
AL071975,,,,
AL071976,,,,
AL071977,,,,
AL071978,,,,
AL071979,,,,
AL071980,,,,
AL071981,,,,
AL071982,,,,
AL071984,,,,
AL071985,,,,
AL071986,,,,
AL071987,,,,
AL071988,,,,2424.4562720066056
AL071989,,,,
AL071990,,,,
AL071991,,,,
AL071992,,,,
AL071993,,,,
AL071994,,,,
AL071995,,,,
AL071996,,,,
AL071997,,,,
AL071998,,,,68962.31173707677
AL071999,,,,
AL072000,,,,
AL072001,,,,
AL072002,,,,
AL072003,,,,
AL072004,853408.6077463252,26938.40302229562,1077.5361208918246,1077.5361208918246
AL072005,242445.62720066056,,,
AL072006,5120451.646477951,1163739.0105631705,155165.20140842276,
AL072007,168365.0188893476,,,
AL072008,1396486.8126758046,429936.912235838,107753.61208918248,6734.600755573905
AL072009,293359.2089127993,72733.68816019816,21550.722417836492,
AL072010,1465449.1244128817,474115.89319240284,168095.63485912466,
AL072011,101827.16342427745,2424.4562720066056,,
AL072012,9697.825088026422,,,
AL072013,206886.93521123033,8620.288967134597,,
AL072014,872804.257922378,142234.76795772085,4310.144483567298,
AL072015,68962.31173707677,,,
AL072016,727336.8816019816,242445.62720066056,96978.25088026421,
AL072017,450410.0985327827,77582.60070421136,8081.5209066886855,
AL072018,106676.07596829064,2155.072241783649,,
AL072019,87280.42579223779,,,
AL072020,26938.40302229562,4310.144483567298,,
AL072021,470883.2848297274,107753.61208918248,38791.30035210569,17240.577934269193
AL072022,4835982.11056251,1596908.5311616843,568939.0718308834,107753.61208918248
AL072023,232747.80211263412,,,107753.61208918248
AL072024,116373.90105631707,,,52799.26992369942
AL081853,,,,
AL081859,,,,
AL081861,,,,
AL081863,,,,
AL081867,,,,
AL081869,,,,
AL081870,,,,
AL081871,,,,
AL081877,,,,
AL081878,,,,
AL081879,,,,
AL081880,,,,
AL081885,,,,
AL081886,,,,
AL081887,,,,
AL081888,,,,
AL081889,,,,
AL081891,,,,
AL081892,,,,
AL081893,,,,
AL081898,,,,
AL081899,,,,
AL081901,,,,
AL081903,,,,
AL081906,,,,1077.5361208918246
AL081908,,,,
AL081909,,,,
AL081916,,,,
AL081923,,,,
AL081924,,,,
AL081926,,,,
AL081927,,,,
AL081931,,,,
AL081932,,,,
AL081933,,,,4310.144483567298
AL081934,,,,
AL081935,,,,
AL081936,,,,
AL081937,,,,
AL081938,,,,
AL081940,,,,
AL081942,,,,
AL081943,,,,
AL081944,,,,
AL081945,,,,
AL081947,,,,
AL081948,,,,1077.5361208918246
AL081949,,,,
AL081950,,,,
AL081951,,,,
AL081952,,,,
AL081953,,,,
AL081954,,,,6734.600755573905
AL081955,,,,6734.600755573905
AL081956,,,,
AL081957,,,,
AL081958,,,,4310.144483567298
AL081959,,,,1077.5361208918246
AL081960,,,,
AL081961,,,,
AL081963,,,,
AL081964,,,,
AL081965,,,,
AL081966,,,,
AL081968,,,,
AL081969,,,,
AL081970,,,,
AL081971,,,,
AL081972,,,,
AL081973,,,,
AL081974,,,,
AL081975,,,,
AL081976,,,,
AL081977,,,,
AL081978,,,,
