code,min_pressure_mb
AL082007,1002.0
AL082008,977.0
AL082009,1008.0
AL082010,998.0
AL082011,994.0
AL082012,965.0
AL082013,1008.0
AL082014,940.0
AL082015,1003.0
AL082016,1010.0
AL082017,962.0
AL082018,967.0
AL082019,995.0
AL082020,973.0
AL082021,986.0
AL082022,994.0
AL082023,926.0
AL091863,
AL091867,952.0
AL091869,
AL091870,
AL091878,
AL091880,
AL091886,
AL091887,973.0
AL091888,
AL091889,
AL091891,
AL091892,
AL091893,955.0
AL091898,
AL091899,
AL091901,
AL091903,
AL091906,
AL091908,
AL091909,952.0
AL091916,
AL091923,
AL091924,
AL091926,
AL091931,
AL091932,943.0
AL091933,
AL091934,1000.0
AL091936,
AL091937,
AL091938,
AL091940,
AL091942,1000.0
AL091943,
AL091944,
AL091945,949.0
AL091947,966.0
AL091948,971.0
AL091949,
AL091950,980.0
AL091951,963.0
AL091952,968.0
AL091953,968.0
AL091954,1004.0
AL091955,952.0
AL091956,1002.0
AL091958,956.0
AL091959,959.0
AL091961,914.0
AL091963,1002.0
AL091964,945.0
AL091965,1004.0
AL091966,927.0
AL091968,976.0
AL091969,900.0
AL091970,996.0
AL091971,989.0
AL091972,
AL091973,996.0
AL091974,977.0
AL091975,
AL091976,964.0
AL091977,
AL091978,1000.0
AL091979,924.0
AL091980,993.0
AL091981,1002.0
AL091984,
AL091985,920.0
AL091986,979.0
AL091987,
AL091988,938.0
AL091989,
AL091990,993.0
AL091991,1002.0
AL091992,990.0
AL091993,990.0
AL091994,1007.0
AL091995,968.0
AL091996,960.0
AL091997,999.0
AL091998,975.0
AL091999,930.0
AL092000,1008.0
AL092001,1005.0
AL092002,1001.0
AL092003,1007.0
AL092004,910.0
AL092005,970.0
AL092006,955.0
AL092007,985.0
AL092008,935.0
AL092009,986.0
AL092010,1005.0
AL092011,942.0
AL092012,965.0
AL092013,979.0
AL092014,1000.0
AL092015,1006.0
AL092016,981.0
AL092017,937.0
AL092018,995.0
AL092019,950.0
AL092020,986.0
AL092021,929.0
AL092022,937.0
AL092023,995.0
AL092024,939.0
AL101869,
AL101870,
AL101878,951.0
AL101880,970.0
AL101886,
AL101887,983.0
AL101891,
AL101893,948.0
AL101898,
AL101899,
AL101901,
AL101903,
AL101906,
AL101908,
AL101909,
AL101916,
AL101924,910.0
AL101926,934.0
AL101931,
AL101932,
AL101933,
AL101934,984.0
AL101936,
AL101937,1002.0
AL101942,
AL101943,
AL101944,
AL101945,982.0
AL101947,961.0
AL101948,990.0
AL101949,
AL101950,
AL101951,998.0
AL101952,934.0
AL101953,986.0
AL101954,1001.0
AL101955,914.0
AL101956,
AL101958,968.0
AL101959,1000.0
AL101961,974.0
AL101963,1000.0
AL101964,941.0
AL101965,997.0
AL101966,1007.0
AL101968,
AL101970,1006.0
AL101971,
AL101972,976.0
AL101973,986.0
AL101974,928.0
AL101975,
AL101976,974.0
AL101977,980.0
AL101978,956.0
AL101979,
AL101980,985.0
AL101981,995.0
AL101984,949.0
AL101985,996.0
AL101986,1000.0
AL101987,1000.0
AL101988,1005.0
AL101989,935.0
AL101990,978.0
AL101991,1009.0
AL101992,976.0
AL101993,1008.0
AL101994,1004.0
AL101995,957.0
AL101996,970.0
AL101998,969.0
AL101999,994.0
AL102000,985.0
AL102001,970.0
AL102002,934.0
AL102003,939.0
AL102004,1009.0
AL102005,1008.0
AL102006,985.0
AL102007,1005.0
AL102008,994.0
AL102009,1005.0
AL102010,989.0
AL102011,1006.0
AL102012,1006.0
AL102013,983.0
AL102015,1001.0
AL102016,984.0
AL102018,995.0
AL102019,976.0
AL102020,1008.0
AL102021,1004.0
AL102022,1003.0
AL102023,942.0
AL102024,963.0
AL111870,
AL111878,963.0
AL111880,991.0
AL111886,
AL111887,
AL111893,
AL111898,
AL111901,
AL111906,
AL111909,957.0
AL111916,
AL111924,
AL111926,
AL111931,
AL111932,
AL111933,945.0
AL111934,
AL111936,
AL111937,
AL111942,
AL111944,
AL111945,982.0
AL111949,965.0
AL111950,955.0
AL111951,990.0
AL111952,992.0
AL111953,
AL111954,1004.0
AL111955,
AL111956,996.0
AL111958,1001.0
AL111959,988.0
AL111961,997.0
AL111964,964.0
AL111966,983.0
AL111967,982.0
AL111970,
AL111971,978.0
AL111972,992.0
AL111973,
AL111974,
AL111975,
AL111976,963.0
AL111977,
AL111978,
AL111979,943.0
AL111980,1004.0
AL111981,
AL111984,998.0
AL111985,997.0
AL111987,
AL111988,932.0
AL111989,918.0
AL111990,
AL111991,980.0
AL111994,972.0
AL111995,1002.0
AL111996,1001.0
AL111998,970.0
AL111999,1002.0
AL112000,981.0
AL112001,948.0
AL112002,1004.0
AL112003,1007.0
AL112004,950.0
AL112005,998.0
AL112007,1003.0
AL112008,984.0
AL112009,975.0
AL112010,924.0
AL112011,1006.0
AL112012,970.0
AL112013,1005.0
AL112015,931.0
AL112016,1007.0
AL112017,914.0
AL112018,1007.0
AL112019,1003.0
AL112020,1004.0
AL112021,993.0
AL112022,1008.0
AL112023,996.0
AL112024,1001.0
AL121878,
AL121886,
AL121887,
AL121893,
AL121901,
AL121909,
AL121916,1000.0
AL121931,
AL121932,
AL121933,952.0
AL121934,
AL121936,
AL121944,
AL121949,
AL121950,
AL121951,
AL121953,989.0
AL121954,998.0
AL121955,
AL121956,
AL121958,
AL121959,
AL121961,1004.0
AL121964,997.0
AL121966,1004.0
AL121967,958.0
AL121968,1001.0
AL121969,995.0
AL121970,962.0
AL121971,
AL121972,
AL121973,962.0
AL121974,1004.0
AL121975,
AL121976,
AL121977,
AL121978,
AL121979,1004.0
AL121980,958.0
AL121981,
AL121984,994.0
AL121985,971.0
AL121987,958.0
AL121988,945.0
AL121989,1001.0
AL121990,980.0
AL121991,972.0
AL121994,980.0
AL121995,1000.0
AL121996,960.0
AL121998,995.0
AL121999,1007.0
AL122000,986.0
AL122001,1004.0
AL122002,980.0
AL122003,997.0
AL122004,938.0
AL122005,902.0
