code,aew_strength_minus_0_days,aew_strength_minus_2_days,aew_strength_minus_3_days
AL071980,5.64334079726932E-06,1.08690952411658E-05,8.43377804739016E-06
AL081980,2.78546185078454E-06,4.03180564997698E-06,8.48056926426298E-06
AL091980,6.70121073633722E-06,2.57443298422549E-06,3.06042289584809E-06
AL101980,9.60271269846794E-06,7.10083881593899E-06,6.70121073633722E-06
AL111980,9.60271269846794E-06,7.10083881593899E-06,6.70121073633722E-06
AL121980,6.82510744701642E-06,9.60271269846794E-06,8.10604744834428E-06
AL131980,1.66548017838673E-06,5.22315802967057E-06,3.81630868106099E-06
AL141980,1.02886283225029E-05,8.82686918809411E-06,6.27262767179751E-06
AL151980,8.11622333229483E-06,1.17731617761001E-05,9.19439717137785E-06
AL161980,0.0,0.0,0.0
AL171980,0.0,0.0,0.0
AL181980,0.0,0.0,0.0
AL011981,0.0,0.0,0.0
AL021981,0.0,0.0,0.0
AL031981,0.0,0.0,0.0
AL041981,7.07586131398697E-06,4.03000657137324E-06,0.0
AL051981,7.3013983733153E-06,2.2443740489969E-06,4.50631792789494E-06
AL061981,3.47806238207795E-06,5.87008624906202E-06,6.42153714338322E-06
AL071981,3.63739854102358E-06,7.41001333958172E-06,3.47806238207795E-06
AL081981,1.35695520974244E-05,4.839719947144E-06,5.05839576997758E-06
AL091981,1.14348983240847E-05,8.63536380347974E-06,3.43103121428424E-06
AL101981,6.51050444891273E-06,3.30996308468737E-06,9.11458861931324E-06
AL111981,7.35166374827539E-06,7.64218916586809E-06,4.45848217654166E-06
AL121981,8.63114473496244E-06,1.03102802661837E-05,3.83155730158186E-06
AL131981,6.74452926896294E-06,8.76300161672795E-06,9.76031132547352E-06
AL141981,9.13120627847352E-06,7.01296861760619E-06,6.74452926896294E-06
AL151981,1.25459372492387E-05,6.46352064516086E-06,1.09050975779265E-05
AL161981,3.02930555781078E-06,9.52822683797849E-06,1.01428992176635E-05
AL171981,2.98445933064147E-06,8.07112658672991E-06,9.52822683797849E-06
AL181981,4.14614684092428E-06,3.43510035235454E-06,2.48936915367946E-06
AL191981,3.66866866789273E-06,3.84175167858644E-06,5.33352454587646E-06
AL201981,0.0,0.0,4.21016104944493E-06
AL211981,0.0,0.0,0.0
AL221981,0.0,0.0,0.0
AL011982,1.60583624931342E-06,0.0,0.0
AL021982,3.30698238442727E-06,3.32081431365501E-06,3.40335057360974E-06
AL031982,3.69039108266821E-06,9.05376580809127E-06,5.19428513597669E-06
AL041982,2.71140773843396E-06,2.53785051825185E-06,6.54826780605535E-06
AL051982,7.29068053639622E-06,2.04330957600479E-06,2.71140773843396E-06
AL061982,2.69816480355583E-06,2.62666019938292E-06,4.26427512518552E-06
AL071982,3.63188924616929E-06,4.97301356564727E-06,4.68605890512782E-06
AL081982,3.2692950511268E-06,8.44946608359071E-06,1.1092115158368E-05
AL011983,4.56286442922874E-06,3.16980581713406E-06,2.67808836856238E-06
AL021983,7.93943906073776E-06,3.53982931053557E-06,3.90132834217805E-06
AL031983,4.08367328479122E-06,9.08316154072762E-06,6.82527025228643E-06
