code,air_temp_250mb,air_temp_500mb
AL021920,231.9412078857422,266.9538879394531
AL031920,228.68431091308594,265.4607238769531
AL041920,227.2152099609375,263.7627868652344
AL051920,230.91612243652344,266.3109436035156
AL011921,232.13735961914062,267.7359313964844
AL021921,231.8789520263672,266.56353759765625
AL031921,230.8416748046875,266.9864501953125
AL041921,231.42648315429688,267.3543395996094
AL051921,230.1024169921875,266.5721740722656
AL061921,231.6465301513672,267.1996765136719
AL071921,227.7906951904297,264.0036315917969
AL011922,231.2748260498047,266.5367431640625
AL021922,230.17601013183594,266.40338134765625
AL031922,230.45005798339844,266.60443115234375
AL041922,231.7334747314453,267.0439758300781
AL051922,231.41302490234375,266.7500915527344
AL011923,232.53121948242188,267.20758056640625
AL021923,229.2273712158203,265.21978759765625
AL031923,231.89199829101562,267.57623291015625
AL041923,229.50411987304688,265.6666564941406
AL051923,231.116943359375,266.1038818359375
AL061923,231.6847381591797,267.4222412109375
AL071923,230.05520629882812,265.6283264160156
AL081923,233.8604736328125,269.0907287597656
AL091923,229.55953979492188,265.5286865234375
AL011924,232.91883850097656,267.8995361328125
AL021924,232.65756225585938,267.4261779785156
AL031924,231.10614013671875,267.0225524902344
AL041924,231.2277374267578,267.1530456542969
AL051924,231.91883850097656,267.01397705078125
AL061924,230.64617919921875,266.3016357421875
AL071924,230.51364135742188,266.4241943359375
AL081924,232.25546264648438,267.0921325683594
AL091924,230.17105102539062,266.173828125
AL101924,231.3977813720703,266.7657470703125
AL111924,230.34327697753906,266.7620544433594
AL011925,230.95458984375,266.2608337402344
AL021925,230.794189453125,266.0265197753906
AL031925,232.4419403076172,266.8663024902344
AL041925,229.10369873046875,265.74566650390625
AL011926,231.61952209472656,267.1849365234375
AL021926,231.75791931152344,267.6228332519531
AL031926,233.0757293701172,267.8935241699219
AL041926,231.7035675048828,267.745361328125
AL051926,235.10084533691406,268.6723327636719
AL061926,233.4147491455078,268.9775695800781
AL071926,232.66473388671875,267.8400573730469
AL081926,231.4260711669922,266.5391540527344
AL091926,233.22274780273438,267.84478759765625
AL101926,233.05728149414062,267.8753356933594
AL111926,231.00730895996094,267.0540771484375
AL011927,231.49606323242188,267.3271179199219
AL021927,232.46395874023438,266.4871520996094
AL031927,230.9499969482422,267.144287109375
AL041927,231.51417541503906,267.3761901855469
AL051927,231.544677734375,267.438232421875
AL061927,232.54124450683594,267.62432861328125
AL071927,232.29837036132812,267.7711181640625
AL081927,229.72299194335938,265.9298095703125
AL011928,230.50953674316406,266.2222595214844
AL021928,230.61976623535156,267.2411804199219
AL031928,232.08419799804688,267.23431396484375
AL041928,232.6337127685547,267.5213623046875
AL051928,232.78961181640625,268.2192077636719
AL061928,230.02804565429688,266.3945617675781
AL011929,233.42327880859375,268.2986755371094
AL021929,230.31016540527344,266.0160827636719
AL031929,230.26927185058594,265.5274658203125
AL041929,225.82521057128906,263.5687255859375
AL051929,229.84286499023438,265.5616455078125
AL011930,230.81922912597656,266.4556884765625
AL021930,230.43202209472656,267.25323486328125
AL031930,233.04751586914062,267.37451171875
AL011931,233.46670532226562,268.3189697265625
AL021931,233.5832977294922,268.11785888671875
AL031931,231.90203857421875,267.2509460449219
AL041931,232.20294189453125,267.3123474121094
AL051931,232.03114318847656,267.05596923828125
AL061931,232.74327087402344,267.57244873046875
AL071931,232.40211486816406,268.0912170410156
AL081931,231.8036651611328,267.208251953125
AL091931,231.4223175048828,267.1212463378906
AL101931,232.81552124023438,267.9845886230469
AL111931,232.7156219482422,267.9056701660156
AL121931,232.10577392578125,267.9385986328125
AL131931,228.5366973876953,264.74066162109375
AL011932,231.14828491210938,266.6493835449219
AL021932,232.4477081298828,267.6784362792969
AL031932,232.35162353515625,267.3265075683594
AL041932,232.49334716796875,266.4949951171875
AL051932,230.02523803710938,265.28485107421875
AL061932,233.267333984375,267.36749267578125
AL071932,229.2044219970703,264.25567626953125
AL081932,232.75271606445312,267.0386047363281
AL091932,232.61293029785156,268.15863037109375
AL101932,226.1798095703125,262.0181884765625
