code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL011878,12.138027592623065,12.98802286534115,10.770925056916575,6.678560868409153
AL011879,0.953283406690092,4.3290847318541905,15.698802763924252,9.974758648943194
AL011880,22.617437948095684,23.509236625467956,12.106931024678309,15.691538809128263
AL011881,16.73566228818923,8.39734049362978,7.3829286911606395,9.775456715817276
AL011882,6.331589161964309,8.42114700303242,11.190634843811985,9.127018370135904
AL011883,3.07403662321339,2.6482297406068347,9.898644679587884,6.021918743157182
AL011884,7.363057492115737,11.640907754347866,10.530508693294962,17.794653725102258
AL011885,0.6405100491995335,14.753636914857626,8.406112796495973,13.41867720398524
AL011886,18.96795253798732,12.387967261571374,8.571460415473727,15.755095001163516
AL011887,31.832373847384765,38.367078001087116,23.973711000161916,16.59762723908085
AL011888,21.051477144985874,22.47564818135369,16.679486596856812,22.116998770991103
AL011889,22.54407217052319,24.147023732287607,27.127051602398495,27.136523741045327
AL011890,19.8143447362127,24.50583101913347,18.36380531993434,16.433703281177866
AL011891,14.363890557606664,14.863418997934168,14.112357256736948,8.134145837608004
AL011892,11.973488599437752,16.450179216354847,20.429413538874083,15.729877665572882
AL011893,11.013095988984182,5.796029710802894,2.8007760458301423,8.631425202343516
AL011894,15.327886734323208,12.245431274963682,14.570438577506211,15.627944771468515
AL011895,5.775866745116874,7.195038699891749,10.665807563272113,4.819646877784407
AL011896,11.606228101587167,12.638184834117435,11.968040012409874,13.79284269558396
AL011897,5.543899851051524,6.677855225933928,7.870518617407835,10.313658805158028
AL011898,8.841845420074927,5.139233804413151,5.819682360950239,4.544615142250016
AL011899,14.691437993553832,18.299676177721366,14.198840886306641,13.569441680144344
AL011900,6.158004216180579,4.483742039847476,7.188693566675473,4.856166411601194
AL011901,11.483789664123927,16.38177301034011,13.497165212542809,13.00470007747839
AL011902,4.877253840808622,6.103420473713204,15.81709674025317,19.399514831564964
AL011903,11.618795727686349,10.190266564483379,11.748464527782525,14.85972711561539
AL011904,11.44000330146977,7.3197672703940295,6.755396488881002,12.839930096023512
AL011905,12.171868934428808,8.12450521173604,6.108793635814079,4.458395024373945
AL011906,11.026137792176609,14.236963920903834,13.611003428115652,9.137801404462548
AL011907,15.98934159159962,12.047395757274463,14.873961967762106,20.440426447400768
AL011908,28.099560969121036,34.040971053581565,31.271765314480188,23.489522024869878
AL011909,5.065963251213147,4.737047292217833,5.179517646223637,5.458754472995161
AL011910,8.218108498967496,6.920502694775604,8.611097851637787,4.737890846849812
AL011911,4.379330368738434,4.55083932927141,11.116456476700225,6.603829170327102
AL011912,17.8353633494655,19.115628060464566,13.939013306757314,13.356228440020422
AL011913,3.3526287732221425,5.777372415313354,3.883291804315947,3.0553372510403274
AL011914,8.429588187762866,10.584948550834214,11.60865431747481,8.456420142222902
AL011915,8.783868472606818,8.733231398269195,5.720577259207274,6.289312918212317
AL011916,12.82825760011103,19.323483921802914,17.67151448935531,22.274620902114506
AL011917,6.017416873297712,6.595916254589177,6.942281333758552,11.105151797006988
AL011918,6.309474036800001,3.31782088635951,10.488188205880757,4.584863431512876
AL011919,4.39747617592639,0.8218902187075919,11.717476926320385,11.860955368848243
AL011920,7.780859273994406,4.9178719215137265,7.542606010244987,8.164933696892925
AL011921,6.22304962062124,8.797271984462824,9.037456456798555,5.892138438724313
AL011922,15.31020493647056,14.00088738587254,7.745219953374101,11.88544750198327
AL011923,8.065112752290172,15.859244767099229,11.993038713890082,2.644757537105177
AL011924,13.417761754035414,13.67663047147479,14.355306727900519,11.572629725571042
AL011925,2.6068326131001505,9.415906781466022,7.717726990629822,6.380888361731354
AL011926,2.960225141324229,6.33118471382551,5.961795251076884,9.570426618241575
AL011927,3.062433855592065,4.870467845092717,5.008382845433756,6.379528774381579
AL011928,7.072932694014254,9.811768192346351,6.778117266954116,17.857838941053174
AL011929,9.371545033081883,8.8608680988148,18.921754847815205,11.546753278655439
AL011930,11.782879866576113,8.15719560592046,7.4927847890815995,7.961426561958879
AL011931,6.666259109675195,11.885168001086605,11.129794180881815,6.915763620411733
