code,rhum_minus_0_days,rhum_minus_3_days,rhum_minus_7_days,rhum_minus_14_days
AL021955,80.48534393310547,56.12139892578125,51.05906677246094,41.35218811035156
AL021956,58.13724136352539,52.62540054321289,64.00749969482422,61.83134841918945
AL021957,74.31332397460938,71.69767761230469,64.54463958740234,38.70900344848633
AL021958,64.09044647216797,67.07211303710938,57.88238525390625,59.00343322753906
AL021959,59.27687454223633,54.48972702026367,54.66969680786133,32.442073822021484
AL021960,44.340789794921875,40.44084930419922,58.88176727294922,52.7348747253418
AL021961,67.31484985351562,45.907936096191406,55.773555755615234,50.51866149902344
AL021962,65.52609252929688,65.29959106445312,63.901641845703125,61.10035705566406
AL021963,72.01155853271484,61.082855224609375,46.00357437133789,49.15474319458008
AL021964,55.98030471801758,47.38884735107422,25.737564086914062,38.07425308227539
AL021965,55.17958450317383,53.707252502441406,34.217018127441406,42.48206329345703
AL021966,48.37113952636719,52.27886199951172,64.56816864013672,33.19609069824219
AL021968,81.78982543945312,73.64700317382812,58.87607192993164,50.010135650634766
AL021970,75.12203216552734,51.287986755371094,68.15203857421875,67.60403442382812
AL021971,73.62727355957031,58.54136657714844,73.49496459960938,71.860107421875
AL021972,85.95970916748047,78.8215103149414,83.83826446533203,70.1117172241211
AL021973,58.14521789550781,45.74512481689453,42.42564010620117,93.08547973632812
AL021974,84.6890640258789,62.85242462158203,53.867515563964844,63.172000885009766
AL021975,73.40165710449219,54.21065902709961,55.3007698059082,69.68708801269531
AL021976,77.28009033203125,73.24128723144531,42.72200393676758,53.898433685302734
AL021977,66.40287780761719,62.81975555419922,46.52107238769531,56.78940200805664
AL021978,68.32238006591797,39.55341339111328,37.23031997680664,73.56092834472656
AL021979,66.74000549316406,18.25,49.5,60.75
AL021980,36.75,34.5,34.75,25.739990234375
AL021981,73.50999450683594,78.74000549316406,17.0,19.75
AL021982,42.5,18.489990234375,25.239990234375,19.25
AL021983,41.0,55.25,37.5,42.75
AL021984,64.49000549316406,59.75,72.99000549316406,53.75
AL021985,71.50999450683594,25.25,61.5,47.5
AL021986,57.0,46.75,54.25,45.5
AL021987,52.75,60.5,51.75,15.5
AL021988,65.24000549316406,60.25,44.5,20.75
AL021989,91.49000549316406,13.0,3.75,42.5
AL021990,40.5,16.25,18.5,10.0
AL021991,57.0,51.25,72.99000549316406,33.5
AL021992,78.5,28.0,16.75,47.5
AL021993,69.99000549316406,66.74000549316406,52.75,2.5
AL021994,52.5,48.75,32.75,70.25999450683594
AL021995,64.49000549316406,49.5,38.25,44.25
AL021996,51.5,23.0,73.50999450683594,27.239990234375
AL021997,61.5,38.75,43.5,13.25
AL021998,49.0,42.0,7.0,7.25
AL021999,63.75,29.739990234375,66.49000549316406,60.25
AL022000,63.75,54.25,19.0,78.25
AL022001,30.25,14.5,37.0,44.5
AL022002,44.0,76.74000549316406,43.0,54.25
AL022003,38.0,36.75,20.0,32.5
AL022004,19.75,10.75,7.0,26.0
AL022005,85.5,62.0,66.0,23.25
AL022006,81.0,39.5,54.75,19.5
AL022007,57.25,28.0,25.0,46.25
AL022008,68.5,27.75,65.0,28.25
AL022009,82.99000549316406,57.0,26.989990234375,35.25
AL022010,82.0,72.74000549316406,65.99000549316406,36.75
AL022011,73.49000549316406,48.75,79.5,31.239990234375
AL022012,96.25,13.25,67.25,21.5
AL022013,59.0,69.74000549316406,48.0,81.25
AL022014,64.5,54.75,29.75,44.25
AL022015,73.5,48.25,17.25,10.75
AL022016,71.0,68.0,65.0,34.25
AL022017,50.75,18.0,44.25,55.5
AL022018,56.75,61.0,57.5,49.25
AL022019,56.25,57.0,67.5,30.25
AL022020,89.75,55.75,25.0,47.5
AL022021,69.25,77.75,78.5,30.0
AL022022,65.5,12.5,24.25,17.0
AL022023,93.5,13.75,47.5,50.75
AL022024,61.0,58.25,31.75,16.75
AL031851,65.33780670166016,44.40161895751953,43.30699920654297,32.94409942626953
AL031852,87.06031036376953,45.4841194152832,49.21710205078125,56.234413146972656
AL031853,67.27362060546875,72.95331573486328,66.0170669555664,72.93932342529297
AL031854,67.18668365478516,40.516563415527344,70.20242309570312,42.37411880493164
AL031855,80.05879211425781,76.79585266113281,81.70294189453125,76.01292419433594
AL031856,50.51617431640625,59.51470184326172,35.253482818603516,55.072425842285156
AL031857,48.291542053222656,40.9223747253418,59.14523696899414,25.182220458984375
AL031858,46.63174819946289,55.29956817626953,58.336585998535156,51.755523681640625
AL031859,76.33859252929688,27.370994567871094,54.803382873535156,34.224952697753906
AL031860,54.698936462402344,32.343849182128906,29.33287239074707,40.95652770996094
AL031861,55.49568557739258,21.732177734375,50.596378326416016,56.46577453613281
AL031862,77.42678833007812,30.98575210571289,25.1142578125,23.396644592285156
AL031863,44.264888763427734,69.38475036621094,41.82695388793945,26.045019149780273
AL031864,71.94985961914062,42.392974853515625,51.68545913696289,37.171051025390625
