code,amo
AL031920,-0.2089069
AL031921,-0.07302325
AL031922,-0.1645495
AL031923,-0.1439165
AL031924,-0.0332381
AL031925,0.0731803
AL031926,-0.2654677
AL031927,-0.1038499
AL031928,0.129613
AL031929,0.2606692
AL031930,0.3397312
AL031931,0.01998159
AL031932,0.7504649
AL031933,0.3392501
AL031934,0.4421664
AL031935,0.0909895
AL031936,0.2256669
AL031937,0.719413
AL031938,0.2990613
AL031939,0.4290239
AL031940,-0.1319759
AL031941,0.1382581
AL031942,0.5047354
AL031943,0.09136268
AL031944,-0.05190581
AL031945,0.006099403
AL031946,0.0319785
AL031947,-0.03714961
AL031948,0.02853009
AL031949,0.2814819
AL031950,0.1177401
AL031951,0.1472546
AL031952,0.6349738
AL031953,-0.1240263
AL031954,0.1882949
AL031955,0.43666
AL031956,0.0346619
AL031957,-0.059383
AL031958,-0.0647456
AL031959,-0.3654188
AL031960,0.1646683
AL031961,-0.01614939
AL031962,-0.1119625
AL031963,-0.6529735
AL031964,-0.1936401
AL031965,-0.09088934
AL031966,-0.4599432
AL031967,-0.2681489
AL031968,-0.353038
AL031969,-0.5480447
AL031970,-0.2987394
AL031971,-0.1886985
AL031972,-0.5665265
AL031973,-0.3303408
AL031974,-0.5474893
AL031975,0.04596438
AL031976,-0.0657316
AL031977,-0.119382
AL031978,-0.3147709
AL031979,-0.1398673
AL031980,-0.2583753
AL031981,-0.1543847
AL031982,-0.3052499
AL031983,-0.4156596
AL031984,-0.2390456
AL031985,-0.5760488
AL031986,-0.2506712
AL031987,0.1787661
AL031988,-0.1935399
AL031989,0.3753757
AL031990,-0.2971747
AL031991,-0.3043797
AL031992,-0.3343955
AL031993,-0.1545277
AL031994,-0.2669998
AL031995,0.1296913
AL031996,-0.25969
AL031997,-0.1360856
AL031998,0.2196363
AL031999,0.4939605
AL032000,0.05749761
AL032001,0.1490442
AL032002,-0.1923996
AL032003,0.04785661
AL032004,0.1207146
AL032005,0.1902146
AL032006,0.4132828
AL032007,-0.1947094
AL032008,0.2509336
AL032009,-0.1213458
AL032010,-0.002789028
AL032011,-0.364612
AL032012,0.3048818
AL032013,0.01562457
AL032014,0.1607495
AL032015,-0.2756003
AL032016,0.01411422
AL032017,-0.02433658
AL032018,-0.2475229
AL032019,0.1262816
AL032020,-0.1180467
AL032021,0.1398476
AL032022,-0.1555018
AL032023,0.3720627
AL032024,0.5019015
AL041851,-0.299903
AL041852,-0.01537079
AL041853,0.293643
AL041854,0.2607546
AL041855,0.1014212
AL041856,0.101261
AL041857,0.131015
AL041858,-0.1414031
AL041859,0.37755
AL041860,0.02420981
AL041861,0.04540048784876922
AL041862,0.0466452302104802
AL041863,0.0122118
AL041864,0.04859174187534694
AL041865,0.04947521438683284
AL041866,0.050271574706574625
AL041867,0.050925236907308116
AL041868,0.051658298063357706
AL041869,0.04354461
AL041870,-0.2980233
AL041871,0.2347319
AL041872,0.05330514030642522
AL041873,0.01930331
AL041874,0.2702686
AL041875,0.1252556
AL041876,0.5813847
AL041877,-0.3129176
AL041878,0.4450997
AL041879,-0.3107575
AL041880,0.148856
AL041881,-0.315805
AL041882,-0.1450633
AL041883,-0.1426054
AL041884,-0.1812075
AL041885,-0.1210656
AL041886,0.2511215
AL041887,0.472713
AL041888,-0.1038935
AL041889,0.1001621
AL041890,0.3908559
AL041891,0.05281422
AL041892,-0.1826277
AL041893,0.1870472
AL041894,0.1167719
AL041895,0.1234735
AL041896,0.2307697
AL041897,-0.2611014
AL041898,0.5512835
AL041899,0.5172043
AL041900,0.05160561
AL041901,0.1053386
AL041902,0.1080191
AL041903,-0.4259915
AL041904,-0.2825925
AL041905,-0.3737876
AL041906,-0.03713121
AL041907,-0.1378121
AL041908,0.49324
AL041909,-0.1716131
AL041910,0.1917145
AL041911,0.3321184
AL041912,-0.1186899
AL041913,-0.1745297
AL041915,0.0004331023
AL041916,0.1476466
AL041917,-0.2745332
AL041918,-0.4284212
AL041919,0.1562812
AL041920,-0.2089069
AL041921,-0.07302325
AL041922,-0.1012741
AL041923,-0.1439165
AL041924,-0.0332381
AL041925,-0.4273968
AL041926,-0.1406062
AL041927,-0.1038499
AL041928,0.129613
AL041929,0.3142168
AL041931,0.01998159
AL041932,0.7504649
AL041933,0.3392501
AL041934,0.1565713
AL041935,0.0909895
AL041936,0.04749107
AL041937,0.3849436
AL041938,0.2990613
AL041939,0.456472
AL041940,-0.1319759
AL041941,0.1382581
AL041942,0.5047354
AL041943,-0.01038159
AL041944,0.1695287
AL041945,0.006099403
AL041946,0.1294988
AL041947,0.07075112
AL041948,0.02853009
AL041949,0.2160088
AL041950,0.1177401
AL041951,0.1472546
AL041952,0.6349738
AL041953,-0.1240263
AL041954,0.1551555
AL041955,0.43666
AL041956,-0.02322939
AL041957,-0.01062569
AL041958,-0.0647456
AL041959,-0.2765025
AL041960,0.1627197
AL041961,-0.01614939
AL041962,-0.1119625
AL041963,-0.6529735
AL041964,-0.1936401
AL041965,-0.1912214
AL041966,-0.4599432
AL041970,-0.2987394
AL041971,-0.3663183
AL041972,-0.3573528
AL041973,-0.244791
AL041974,-0.7371646
AL041975,0.04596438
AL041976,0.1966217
AL041977,-0.252035
AL041978,-0.3147709
AL041979,-0.1398673
AL041980,-0.2583753
AL041981,-0.05794118
AL041982,-0.2224944
AL041983,-0.4156596
AL041984,-0.07535153
AL041985,-0.5760488
AL041986,-0.3426447
AL041987,0.1787661
AL041988,-0.1935399
AL041989,0.3753757
AL041990,-0.2971747
AL041991,-0.3043797
AL041992,-0.5379443
AL041993,-0.1545277
AL041994,-0.2669998
AL041995,0.1296913
AL041996,-0.08881154
AL041997,-0.1360856
AL041998,0.2196363
AL041999,0.4939605
AL042000,0.05749761
AL042001,0.1490442
AL042002,-0.1923996
