code,formation_datetime,formation_lat,formation_lon
AL021886,1886-06-17 00:00:00,19.1,275.2
AL021887,1887-05-17 00:00:00,15.6,283.1
AL021888,1888-07-04 12:00:00,26.0,265.6
AL021889,1889-06-15 00:00:00,19.8,276.3
AL021890,1890-08-18 12:00:00,14.0,298.0
AL021891,1891-08-17 06:00:00,13.3,335.6
AL021892,1892-08-15 00:00:00,18.0,305.5
AL021893,1893-07-04 12:00:00,11.1,280.8
AL021894,1894-08-05 06:00:00,26.4,270.7
AL021895,1895-08-22 00:00:00,13.4,301.7
AL021896,1896-08-30 06:00:00,14.0,300.4
AL021897,1897-09-10 06:00:00,23.7,280.0
AL021898,1898-08-30 06:00:00,29.3,280.9
AL021899,1899-07-28 12:00:00,17.0,290.5
AL021900,1900-09-07 00:00:00,14.5,332.0
AL021901,1901-07-01 12:00:00,9.0,306.0
AL021902,1902-06-21 00:00:00,17.2,267.9
AL021903,1903-08-06 06:00:00,11.8,317.7
AL021904,1904-09-08 00:00:00,16.2,306.0
AL021905,1905-09-11 12:00:00,19.5,309.0
AL021906,1906-06-14 06:00:00,22.9,283.6
AL021907,1907-09-18 12:00:00,25.0,281.0
AL021908,1908-05-24 12:00:00,21.0,288.3
AL021909,1909-06-25 12:00:00,25.0,276.0
AL021910,1910-08-26 12:00:00,26.7,268.3
AL021911,1911-08-08 12:00:00,25.5,277.5
AL021912,1912-07-12 12:00:00,25.0,286.0
AL021913,1913-08-14 12:00:00,32.0,292.0
AL021915,1915-08-05 12:00:00,14.0,334.0
AL021916,1916-06-28 12:00:00,12.5,280.5
AL021917,1917-08-06 00:00:00,32.0,292.5
AL021918,1918-08-22 06:00:00,12.0,302.5
AL021919,1919-09-02 12:00:00,16.0,299.0
AL021920,1920-09-16 06:00:00,11.7,283.5
AL021921,1921-09-04 12:00:00,21.0,265.0
AL021922,1922-09-13 00:00:00,10.4,313.2
AL021923,1923-09-01 00:00:00,29.4,287.0
