code,cape_minus_0_days,cape_minus_2_days,cape_minus_3_days
AL051943,0.0,5.0,111.25
AL051944,5.5,706.5,117.5
AL051945,184.25,1214.25,1342.875
AL051946,2.25,4.25,36.5
AL051947,2.75,1.625,31.75
AL051948,0.0,0.0,0.0
AL051949,0.0,20.875,36.75
AL051950,27.625,960.125,1128.25
AL051951,513.25,647.875,1293.125
AL051952,4.25,1.75,25.75
AL051953,1.5,50.5,9.0
AL051954,0.0,0.0,2.75
AL051955,0.0,0.0,0.0
AL051956,0.0,520.375,167.5
AL051957,0.0,0.0,142.5
AL051958,436.75,227.5,702.5
AL051959,1.75,7.75,4.5
AL051960,172.25,232.0,129.75
AL051961,483.5,395.75,777.5
AL051962,0.0,0.0,0.0
AL051963,2102.25,2512.375,3530.25
AL051964,221.0,575.5,270.0
AL051965,0.0,0.0,7.75
AL051966,582.75,748.875,691.375
AL051968,0.875,0.0,0.0
AL051969,437.375,625.125,511.125
AL051970,176.25,855.0,387.25
AL051971,0.0,0.0,0.0
AL051972,27.5,1.25,0.0
AL051973,1119.5,670.0,945.0
AL051974,1.375,2.75,0.0
AL051975,0.5,66.75,150.5
AL051976,624.875,1043.75,301.0
AL051977,0.0,1.5,10.25
AL051978,0.0,1.625,3.125
AL051979,0.75,0.0,5.0
AL051980,359.25,1604.75,1714.5
AL051981,4.25,27.75,0.0
AL051982,0.0,0.0,0.0
AL051983,2.25,83.0,18.25
AL051984,0.875,2.25,3.5
AL051985,4.0,71.0,0.0
AL051986,13.5,4.5,1.25
AL051987,1302.0,389.75,1655.0
AL051988,2.25,3.5,3.0
AL051989,742.5,1143.25,1373.0
AL051990,1069.75,483.0,723.75
AL051991,1331.375,816.5,1440.0
AL051992,0.0,383.5,36.875
AL051993,41.5,0.0,0.0
AL051994,0.0,43.125,534.75
AL051995,1.25,32.0,13.0
AL051996,527.0,412.25,1000.5
AL051997,0.0,2.125,0.875
AL051998,0.0,0.0,69.75
AL051999,86.25,0.0,0.0
AL052000,0.0,0.0,0.75
AL052001,18.5,0.0,0.0
AL052002,5.25,13.0,0.0
AL052003,0.25,2.75,1.0
AL052004,208.0,493.0,774.0
AL052005,505.75,552.5,530.0
AL052006,455.5,414.75,907.75
AL052007,0.0,0.0,0.0
AL052008,0.5,0.0,0.0
AL052009,0.0,22.5,2.75
AL052010,0.75,0.75,0.0
AL052011,1119.0,205.75,305.0
AL052012,676.5,171.5,436.0
AL052013,73.0,141.75,126.25
AL052014,0.0,2253.75,1942.25
AL052015,633.75,1066.5,599.25
AL052016,900.5,1127.75,1158.5
AL052017,474.0,521.75,478.75
AL052018,19.0,8.75,8.5
AL052019,709.25,601.0,472.25
AL052020,0.0,0.25,0.0
AL052021,454.5,1054.625,110.0
AL052022,9.75,34.25,17.0
AL052023,0.25,0.25,2.25
AL052024,320.75,642.5,836.75
AL061940,1606.25,1247.5,1494.625
AL061941,0.125,1.75,0.0
AL061942,187.75,29.0,27.5
AL061943,0.0,0.0,3.75
AL061944,0.0,83.25,1964.5
AL061945,686.0,693.25,1202.0
AL061946,44.625,0.0,0.0
AL061947,2449.75,976.5,852.75
AL061948,390.875,1051.0,801.0
AL061949,28.25,4.75,1.375
AL061950,1861.5,378.25,274.375
AL061951,463.75,646.25,670.5
AL061952,0.0,1143.0,230.25
AL061953,3161.875,1172.0,983.5
AL061954,0.0,0.0,0.0
AL061955,115.75,1234.625,1593.5
AL061956,1.125,0.125,48.25
AL061957,6.0,679.75,0.0
AL061958,198.5,213.875,720.625
AL061959,391.0,460.5,640.75
AL061960,0.0,1.75,4.0
AL061961,0.0,0.0,0.0
AL061962,0.5,2.75,4.875
AL061963,985.375,1288.0,488.5
AL061964,144.125,524.5,1025.75
AL061965,658.625,938.5,811.25
AL061966,359.0,509.0,497.5
AL061968,3.0,10.25,25.5
AL061969,152.625,117.75,125.5
AL061971,0.0,0.0,0.0
AL061972,27.875,9.0,13.5
AL061973,9.75,0.0,0.0
AL061974,3.25,1.5,17.75
AL061975,37.0,14.75,5.5
AL061976,0.75,5.5,0.375
AL061977,9.0,0.125,0.0
AL061978,865.0,102.875,334.0
AL061979,858.5,596.75,448.5
AL061980,714.25,400.25,703.75
AL061981,18.25,2.0,13.875
AL061982,0.0,67.75,0.0
AL061983,601.875,93.125,0.0
AL061984,1271.0,1636.0,822.0
AL061985,0.0,964.75,445.75
AL061986,681.5,1697.5,574.5
AL061987,2043.5,772.75,1601.75
AL061988,1014.5,1101.5,840.25
AL061989,0.0,549.875,691.25
AL061990,0.25,0.25,21.0
AL061991,113.0,190.375,57.0
AL061992,0.0,266.875,190.5
AL061993,1148.0,436.5,1622.5
AL061994,1495.75,772.125,826.5
AL061995,70.5,935.25,109.5
AL061996,731.5,1199.25,900.75
AL061997,525.5,1380.75,1690.125
AL061998,0.25,0.25,0.0
AL061999,339.0,629.75,1055.0
AL062000,651.25,518.0,1064.5
AL062001,1088.5,685.5,1016.25
AL062002,0.25,0.0,2.5
AL062003,590.75,794.75,652.0
AL062004,906.375,487.25,181.0
AL062005,0.0,0.0,0.0
AL062006,349.75,840.75,504.75
AL062007,532.75,448.25,415.25
AL062008,226.75,0.0,93.0
AL062009,1088.875,1469.0,965.0
AL062010,524.0,563.75,678.5
AL062011,2.0,0.0,0.0
AL062012,48.0,1049.25,548.75
AL062013,66.25,1755.25,1129.0
AL062014,1335.5,405.25,863.0
AL062015,173.5,440.25,593.75
AL062016,245.5,1015.5,1068.5
AL062017,0.25,0.0,0.0
AL062018,526.5,593.75,854.0
AL062019,5.5,155.75,30.25
AL062020,2.75,0.0,0.0
AL062021,373.75,545.25,418.75
AL062022,1243.25,127.5,564.25
AL062023,1468.75,738.75,429.25
AL062024,0.0,0.0,0.0
AL071940,37.75,51.375,5.0
AL071942,2.25,11.375,6.875
AL071943,20.0,9.875,5.625
AL071944,138.75,1805.75,1464.25
AL071945,182.5,108.0,208.5
AL071946,0.0,3.875,0.0
AL071947,0.0,1.125,0.75
AL071948,0.0,6.125,25.625
AL071949,31.5,25.25,24.5
AL071950,15.25,92.5,14.125
AL071951,147.125,743.75,646.25
AL071952,470.25,462.75,464.0
AL071953,1220.25,630.25,1547.375
AL071954,689.0,1101.75,1437.5
AL071955,547.25,43.5,833.625
AL071956,354.25,579.625,369.875
AL071957,4.75,0.0,0.0
AL071958,455.0,0.125,3.875
AL071959,711.125,991.5,1015.875
AL071960,18.125,7.375,0.0
AL071961,425.75,1223.5,1522.25
AL071962,25.75,12.125,18.25
AL071963,382.125,1210.125,251.125
AL071964,867.875,1015.875,324.5
AL071965,3.75,1.0,20.75
AL071966,1097.125,747.25,714.25
AL071969,0.0,22.0,11.625
AL071970,147.0,182.25,23.625
AL071971,0.0,0.0,0.0
AL071972,1232.75,1164.25,1843.25
AL071973,544.5,550.5,300.625
AL071974,823.25,1004.75,539.25
AL071975,0.0,5.5,22.0
AL071976,409.0,0.0,0.0
