code,sst_minus_0_days,sst_minus_3_days,sst_minus_7_days,sst_minus_14_days
AL011900,300.03875732421875,299.9377746582031,299.7960205078125,299.61395263671875
AL011901,301.7275695800781,301.6551513671875,301.66943359375,301.66766357421875
AL011902,301.9196472167969,301.6200256347656,301.2967834472656,301.2923889160156
AL011903,301.4963684082031,301.50140380859375,301.5513000488281,301.3772277832031
AL011904,301.66900634765625,301.6584167480469,301.5752868652344,301.47332763671875
AL011905,301.3099670410156,301.3926696777344,301.4696044921875,301.41693115234375
AL011906,301.3762512207031,301.47003173828125,301.6288757324219,301.2244873046875
AL011907,300.93115234375,300.83367919921875,300.81585693359375,300.88385009765625
AL011908,297.0181884765625,297.0403137207031,297.01702880859375,296.83270263671875
AL011909,301.3849792480469,301.3125,301.25091552734375,301.2861633300781
AL011910,301.28997802734375,301.2563171386719,301.14990234375,301.00238037109375
AL011911,301.262939453125,301.3553466796875,299.4292297363281,302.0670166015625
AL011912,300.83978271484375,300.81817626953125,300.5804748535156,299.8272705078125
AL011913,300.82037353515625,300.8702087402344,300.93731689453125,300.9188537597656
AL011914,301.6944274902344,301.7643127441406,301.7798767089844,301.8815612792969
AL011915,302.2651062011719,302.2163391113281,302.0350646972656,301.84893798828125
AL011916,300.4139404296875,300.2972106933594,300.1549987792969,300.0538330078125
AL011917,300.94964599609375,300.940185546875,300.8421936035156,300.86553955078125
AL011918,301.55078125,301.5145263671875,301.4562683105469,301.21746826171875
AL011919,301.43280029296875,301.3596496582031,301.11737060546875,300.6322326660156
AL011920,299.96533203125,299.9319763183594,299.8380126953125,300.0838928222656
AL011921,300.8043212890625,300.8772888183594,300.8822937011719,300.584716796875
AL011922,300.5882568359375,300.6719970703125,300.7820129394531,300.6388244628906
AL011923,301.791748046875,301.6959228515625,301.57354736328125,301.5770263671875
AL011924,301.45367431640625,301.44769287109375,301.3427429199219,301.23956298828125
AL011925,301.7505798339844,301.77154541015625,301.87139892578125,301.5610046386719
AL011926,301.2359924316406,301.1920166015625,301.1470642089844,300.8960266113281
AL011927,299.875,299.741943359375,299.6499938964844,299.413330078125
AL011928,301.36029052734375,301.29669189453125,301.2645263671875,301.0597839355469
AL011929,301.1195373535156,301.0981140136719,301.11358642578125,301.5345153808594
AL011930,300.84442138671875,300.81610107421875,300.6936950683594,300.28009033203125
AL011931,301.8573303222656,301.9337158203125,301.9836120605469,301.86517333984375
AL011932,300.560302734375,300.4886474609375,300.4368896484375,300.10882568359375
AL011933,300.8481750488281,301.04315185546875,301.12799072265625,301.0253601074219
AL011934,302.05377197265625,302.0928039550781,302.062744140625,301.6566467285156
AL011935,300.098876953125,300.002197265625,299.892822265625,299.8850402832031
AL011936,302.2468566894531,302.2481384277344,302.35845947265625,302.14788818359375
AL011937,302.7732238769531,302.6361083984375,302.3797302246094,302.30572509765625
AL011938,293.35760498046875,293.4696350097656,293.6558837890625,293.8469543457031
AL011939,300.8092956542969,301.1461486816406,301.07562255859375,300.9879455566406
AL011940,299.8121643066406,299.69732666015625,299.7145080566406,299.4063720703125
AL011941,303.0597839355469,303.26104736328125,303.45367431640625,303.4611511230469
AL011942,299.3065185546875,299.41748046875,299.5754089355469,299.4500732421875
AL011943,302.7322692871094,302.63641357421875,302.453125,302.3916931152344
AL011944,301.3101806640625,301.3898010253906,301.30694580078125,301.17547607421875
AL011945,301.08758544921875,301.01654052734375,301.0776062011719,301.0936584472656
AL011946,300.101806640625,299.9062805175781,300.03155517578125,300.12713623046875
AL011947,301.4743957519531,301.65283203125,301.7568359375,301.5196228027344
AL011948,300.5306396484375,300.38873291015625,300.2766418457031,300.35284423828125
AL011949,301.4040832519531,301.3185119628906,301.2231140136719,301.1242370605469
AL011950,300.5708312988281,300.45458984375,300.35552978515625,300.2248840332031
AL011951,295.02197265625,295.1257019042969,295.299072265625,295.4443054199219
AL011952,299.4230041503906,299.0804748535156,299.5577697753906,299.63232421875
AL011953,301.5671691894531,301.56207275390625,301.54949951171875,301.1662902832031
AL011954,298.87939453125,298.5419616699219,298.76617431640625,299.20538330078125
AL011955,302.56036376953125,302.6452941894531,302.71563720703125,302.4703674316406
AL011956,300.6522521972656,301.1517028808594,301.0225830078125,300.90863037109375
AL011957,301.7997131347656,301.54052734375,301.13140869140625,300.6453552246094
AL011958,301.72930908203125,301.54608154296875,301.3949279785156,300.9264831542969
AL011959,301.1310119628906,301.0593566894531,301.020263671875,300.553955078125
AL011960,301.46295166015625,301.6763000488281,301.951171875,301.91986083984375
AL011961,300.4555969238281,300.3752136230469,300.21746826171875,299.9845886230469
AL011962,303.22698974609375,303.8106689453125,303.6859130859375,304.4839172363281
AL011963,300.69696044921875,300.4794006347656,300.37408447265625,300.23291015625
AL011964,301.8387756347656,301.59820556640625,301.46728515625,301.4495544433594
AL011965,300.6568603515625,300.29296875,300.0811462402344,299.6515808105469
AL011966,299.0301818847656,299.265625,299.95355224609375,299.8830261230469
AL011967,301.6036376953125,301.59661865234375,301.52386474609375,301.25262451171875
AL011968,301.4478759765625,301.4211120605469,301.1378479003906,300.8055114746094
AL011970,300.882568359375,300.8672790527344,300.80987548828125,300.7264404296875
AL011971,300.9639587402344,300.9931945800781,300.7309265136719,299.7610778808594
AL011972,299.10711669921875,298.8885192871094,298.3250427246094,297.91424560546875
AL011973,298.1382751464844,298.3675231933594,298.26617431640625,297.6837158203125
AL011974,301.0611267089844,301.0331726074219,301.1471862792969,301.4784240722656
