code,nao
AL041943,-0.65
AL041944,0.15
AL041945,-1.83
AL041946,1.98
AL041947,1.18
AL041948,0.34
AL041949,-1.81
AL041950,-0.28
AL041951,0.85
AL041952,-1.05
AL041953,3.26
AL041954,0.88
AL041955,0.54
AL041956,-0.51
AL041957,-1.56
AL041958,0.98
AL041959,0.29
AL041960,-1.84
AL041961,2.01
AL041962,0.02
AL041963,0.94
AL041964,-2.46
AL041965,-1.01
AL041966,-1.99
AL041970,0.27
AL041971,0.07
AL041972,0.41
AL041973,-1.85
AL041974,2.07
AL041975,0.63
AL041976,-0.57
AL041977,-1.42
AL041978,-0.33
AL041979,2.53
AL041980,-0.91
AL041981,-1.57
AL041982,1.08
AL041983,0.56
AL041984,1.0
AL041985,2.33
AL041986,-2.21
AL041987,-2.99
AL041988,0.73
AL041989,0.58
AL041990,1.43
AL041991,2.71
AL041992,3.97
AL041993,0.75
AL041994,-1.59
AL041995,-0.96
AL041996,-0.19
AL041997,1.18
AL041998,1.8
AL041999,-3.67
AL042000,0.78
AL042001,1.64
AL042002,-0.61
AL042003,0.09
AL042004,-0.76
AL042005,-0.08
AL042006,-2.47
AL042007,-3.41
AL042008,-1.13
AL042009,1.07
AL042010,-2.01
AL042011,-3.39
AL042012,-2.58
AL042013,2.52
AL042014,-1.14
AL042015,1.47
AL042016,-1.27
AL042017,0.1
AL042018,1.26
AL042019,0.1
AL042020,-1.52
AL042021,0.35
AL042023,-2.9
AL042024,1.88
AL051851,1.85
AL051852,-1.65
AL051853,-0.22
AL051854,1.11
AL051855,0.79
AL051856,-0.44
AL051858,2.33
AL051859,0.11
AL051860,-0.92
AL051861,-0.85
AL051862,1.75
AL051863,2.46
AL051864,-6.05
AL051865,3.24
AL051866,1.52
AL051867,1.13
AL051869,0.62
AL051870,1.71
AL051871,4.19
AL051872,-0.91
AL051873,-0.57
AL051874,0.74
AL051875,-0.75
AL051876,-2.19
AL051877,-3.74
AL051878,-0.95
AL051879,-1.88
AL051880,-0.43
AL051881,0.42
AL051882,0.4
AL051885,1.4
AL051886,2.43
AL051887,0.58
AL051888,-0.42
AL051889,-1.98
AL051891,2.29
AL051892,1.61
AL051893,0.48
AL051894,-2.24
AL051895,-2.53
AL051896,-2.77
AL051897,-0.6
AL051898,-0.17
AL051899,-0.08
AL051900,-0.57
AL051901,1.14
AL051902,-0.09
AL051903,0.22
AL051904,0.04
AL051905,-3.1
AL051906,-1.33
AL051907,-0.41
AL051908,0.6
AL051909,2.35
AL051910,-1.56
AL051911,1.53
AL051912,0.42
AL051913,-1.48
AL051915,-1.94
AL051916,-0.57
AL051918,-0.17
AL051919,-2.07
AL051920,0.41
AL051921,-0.22
AL051922,-3.95
AL051923,2.64
AL051924,0.71
AL051926,0.92
AL051927,-1.77
AL051928,-1.93
AL051929,0.29
AL051931,-2.73
AL051932,-0.93
AL051933,2.62
AL051934,1.51
AL051935,0.55
AL051936,1.34
AL051937,-0.17
AL051938,-0.29
AL051939,-2.51
AL051940,-1.1
AL051941,-1.21
AL051942,-0.25
AL051943,-0.65
AL051944,0.15
AL051945,-1.83
AL051946,-2.04
AL051947,1.18
AL051948,0.82
AL051949,-1.81
AL051950,1.51
AL051951,0.85
AL051952,-3.02
AL051953,3.26
AL051954,0.88
AL051955,0.54
AL051956,-0.51
AL051957,-1.56
AL051958,0.98
AL051959,0.29
AL051960,-1.84
AL051961,2.01
AL051962,-0.34
AL051963,0.94
AL051964,-2.46
AL051965,-1.01
AL051966,-1.99
AL051968,-1.45
AL051969,3.7
AL051970,-0.2
AL051971,0.07
AL051972,0.41
AL051973,-1.85
AL051974,2.07
AL051975,0.63
AL051976,-0.57
AL051977,-1.42
AL051978,0.05
AL051979,2.53
AL051980,0.3
AL051981,-1.57
AL051982,1.08
AL051983,-0.65
AL051984,1.0
AL051985,2.33
AL051986,-2.21
AL051987,-2.99
AL051988,0.8
AL051989,0.58
AL051990,3.31
AL051991,2.71
AL051992,0.99
AL051993,0.75
AL051994,-1.59
AL051995,-0.96
AL051996,-0.19
AL051997,1.18
AL051998,1.8
AL051999,-3.67
AL052000,0.78
AL052001,1.64
AL052002,-3.58
AL052003,0.09
AL052004,-0.76
AL052005,-0.08
AL052006,-2.47
AL052007,-3.41
AL052008,-0.21
AL052009,1.07
AL052010,-2.01
AL052011,-2.41
AL052012,-0.44
AL052013,2.16
AL052014,-2.1
AL052015,1.47
AL052016,2.14
AL052017,0.1
AL052018,1.26
AL052019,0.1
AL052020,-1.23
AL052021,0.35
AL052022,-1.7
AL052023,-1.77
AL052024,1.88
AL061851,0.78
AL061853,-0.22
AL061856,-0.5
AL061858,-1.86
AL061859,-2.61
AL061860,-0.92
AL061861,-0.8
AL061862,-0.49
AL061863,2.46
AL061865,3.24
AL061866,1.52
AL061867,1.13
AL061869,0.62
AL061870,1.3
AL061871,-1.93
AL061874,0.74
AL061875,-0.75
AL061877,1.25
AL061878,-0.95
AL061879,-1.88
AL061880,0.92
AL061881,-0.25
AL061882,0.65
AL061885,1.4
AL061886,2.43
AL061887,-1.19
AL061888,-0.42
AL061889,-1.98
AL061891,2.29
AL061892,1.61
AL061893,0.48
AL061894,-2.24
AL061895,-2.53
AL061896,-2.77
AL061897,-0.6
AL061898,-0.17
AL061899,-0.12
AL061900,-0.57
AL061901,1.14
AL061903,0.22
AL061904,0.04
AL061906,-1.33
AL061908,0.98
AL061909,2.35
AL061911,-1.88
AL061912,0.42
AL061913,-1.48
AL061915,-1.94
AL061916,-0.57
AL061918,-0.17
AL061921,-0.22
AL061923,1.34
AL061924,0.71
AL061926,0.92
AL061927,-2.04
AL061928,0.15
AL061931,-2.73
AL061932,-0.93
AL061933,2.65
AL061934,2.5
AL061935,0.88
AL061936,2.67
AL061937,-0.17
AL061938,-0.29
AL061939,-2.51
AL061940,-1.1
AL061941,-1.21
AL061942,-0.25
AL061943,-0.65
AL061944,0.36
AL061945,-1.83
AL061946,-2.04
AL061947,1.18
AL061948,0.82
AL061949,-1.81
AL061950,1.51
AL061951,-0.22
AL061952,-3.02
AL061953,0.75
AL061954,-0.59
AL061955,0.82
AL061956,-0.51
AL061957,-1.56
AL061958,-0.23
AL061959,0.02
AL061960,0.24
AL061961,2.01
AL061962,1.41
AL061963,0.94
AL061964,-2.46
AL061965,-1.26
AL061966,-2.03
AL061968,-1.45
AL061969,3.7
AL061971,0.07
AL061972,0.41
AL061973,-1.85
AL061974,0.89
AL061975,0.63
AL061976,-0.57
AL061977,1.64
AL061978,0.05
AL061979,2.53
AL061980,0.3
AL061981,-1.57
AL061982,1.08
AL061983,-0.65
AL061984,1.0
AL061985,0.0
AL061986,-2.21
AL061987,-2.99
AL061988,0.8
AL061989,1.76
AL061990,3.31
AL061991,-1.12
AL061992,0.99
AL061993,0.75
AL061994,-2.85
AL061995,-1.33
AL061996,-0.19
AL061997,1.18
AL061998,-3.48
AL061999,-3.67
AL062000,0.78
AL062001,-3.83
AL062002,-3.58
AL062003,0.09
AL062004,-0.76
AL062005,-0.08
AL062006,-2.47
AL062007,-3.41
AL062008,-0.21
AL062009,-0.63
AL062010,-2.01
AL062011,-2.41
AL062012,-0.44
AL062013,2.16
AL062014,-2.1
AL062015,1.47
AL062016,2.14
AL062017,0.1
AL062018,1.26
AL062019,0.1
AL062020,-1.23
AL062021,-2.44
AL062022,-3.73
AL062023,-1.75
AL062024,-4.19
AL071853,-0.22
AL071859,-2.61
AL071860,2.28
AL071861,-0.8
AL071863,2.46
AL071865,-2.66
AL071866,-0.03
AL071867,0.73
AL071869,0.62
AL071870,1.3
AL071871,-1.93
AL071874,0.86
AL071877,1.25
AL071878,-0.95
AL071879,-1.88
AL071880,0.92
AL071881,-0.25
AL071885,1.4
AL071886,2.43
AL071887,-1.19
AL071888,-0.89
AL071889,-1.98
AL071891,-0.46
AL071892,-3.68
AL071893,0.48
AL071894,-2.24
AL071896,-0.55
AL071898,-0.17
AL071899,-0.12
AL071900,-0.57
AL071901,1.14
AL071903,-0.55
AL071906,-1.33
AL071908,0.98
AL071909,2.35
AL071912,1.21
AL071916,-0.57
AL071921,-1.22
AL071923,1.34
AL071924,0.71
AL071926,0.92
AL071927,-2.04
AL071931,-2.73
AL071932,-0.93
AL071933,2.65
AL071934,2.5
AL071935,0.88
AL071936,2.67
AL071937,-0.17
AL071938,1.88
AL071940,-1.1
AL071942,-0.25
AL071943,-0.65
AL071944,0.36
AL071945,1.4
AL071946,-2.04
AL071947,-0.51
AL071948,0.82
AL071949,-1.81
AL071950,1.51
AL071951,-0.22
AL071952,-3.02
AL071953,0.75
AL071954,-0.59
AL071955,0.82
AL071956,-0.51
AL071957,-1.56
AL071958,-0.23
AL071959,-1.81
AL071960,0.24
AL071961,2.01
AL071962,-2.23
AL071963,0.94
AL071964,0.5
AL071965,-1.01
AL071966,-0.47
AL071969,-1.62
AL071970,-0.2
AL071971,0.07
AL071972,0.11
AL071973,2.32
AL071974,0.89
AL071975,0.08
AL071976,0.62
AL071977,1.64
AL071978,0.05
AL071979,2.53
AL071980,0.3
AL071981,1.74
AL071982,1.08
AL071984,1.0
AL071985,0.0
AL071986,-1.34
AL071987,1.27
AL071988,0.8
AL071989,1.76
AL071990,3.31
AL071991,-1.12
AL071992,0.99
AL071993,-2.6
AL071994,-2.85
AL071995,-1.33
AL071996,-0.19
AL071997,-0.67
AL071998,-3.48
AL071999,-0.51
AL072000,0.78
AL072001,-3.83
AL072002,-3.58
AL072003,0.09
AL072004,-0.76
AL072005,-0.08
AL072006,-1.02
AL072007,-1.18
AL072008,-0.21
AL072009,-0.63
AL072010,-2.01
AL072011,-2.41
AL072012,-0.44
AL072013,-0.57
AL072014,0.31
AL072015,-1.65
AL072016,2.14
AL072017,-0.04
AL072018,0.45
AL072019,-0.32
AL072020,-1.23
AL072021,-2.44
AL072022,-3.73
AL072023,-1.75
AL072024,-4.19
AL081853,-0.47
AL081859,-2.61
AL081861,-1.35
AL081863,2.46
AL081867,0.73
AL081869,0.62
AL081870,1.3
AL081871,-0.89
AL081877,2.06
AL081878,-1.44
AL081879,-3.38
AL081880,0.92
AL081885,-0.84
AL081886,-0.34
AL081887,-2.56
AL081888,2.7
AL081889,-1.98
AL081891,-0.46
AL081892,-3.68
AL081893,-0.97
AL081898,-0.17
AL081899,-0.12
AL081901,-0.09
AL081903,-0.55
AL081906,0.4
AL081908,0.98
AL081909,2.35
AL081916,-0.57
AL081923,1.34
AL081924,0.71
AL081926,0.92
AL081927,-1.25
AL081931,-2.73
AL081932,-0.93
AL081933,2.65
AL081934,2.5
AL081935,1.13
AL081936,2.67
AL081937,-0.17
AL081938,1.88
AL081940,-1.89
AL081942,-0.25
AL081943,0.45
AL081944,0.36
