code,mean_forward_speed_kmph
AL011959,17.05888352959375
AL011960,18.835701659571303
AL011961,27.62380773520075
AL011962,19.36014302335554
AL011963,31.104468235589888
AL011964,21.105727021265466
AL011965,35.76871253297351
AL011966,16.607110978889242
AL011967,7.311878235336928
AL011968,12.003670631443022
AL011970,16.179605298740793
AL011971,32.16230348889639
AL011972,15.225032038616904
AL011973,16.677253242895997
AL011974,10.045155960296617
AL011975,14.520200576757361
AL011976,29.010799046214217
AL011977,19.50637945123338
AL011978,19.940565623661172
AL011979,14.778764738798646
AL011980,14.10722885858746
AL011981,17.91064862730489
AL011982,9.668929642379117
AL011983,25.91738461990334
AL011984,11.089050425557552
AL011985,28.684810595227827
AL011986,20.687242899973306
AL011987,12.563337784512528
AL011988,38.50586199502176
AL011989,6.713043453985942
AL011990,17.012347331777715
AL011991,27.108556891895784
AL011992,10.077230887569293
AL011993,34.70362720364591
AL011994,11.074103393057047
AL011995,34.34728425623042
AL011996,36.97765205711475
AL011997,36.41698643892435
AL011998,26.041714246416497
AL011999,9.309776922473867
AL012000,5.8306985268457465
AL012001,14.626516592306094
AL012002,37.133931473560494
AL012003,24.448855313463863
AL012004,31.81347542416483
AL012005,26.524354744093117
AL012006,37.994633623458455
AL012007,14.129687327617605
AL012008,8.666210228769097
AL012009,24.441970624651702
AL012010,14.847132079172109
AL012011,10.534487359732346
AL012012,16.824520247280333
AL012013,37.80087599073756
AL012014,20.21098896554841
AL012015,15.182905435106905
AL012016,37.67935788921724
AL012017,24.151932827043545
AL012018,22.963128955686358
AL012019,14.923251503597326
AL012020,20.81386126795314
AL012021,22.007595416715382
AL012022,30.240333952462617
AL012023,34.5438568202948
AL012024,16.114259904983353
AL021851,
AL021852,22.411056496111126
AL021853,
AL021854,
AL021855,57.20768489611329
AL021856,24.62359837911572
AL021857,19.729932733591472
AL021858,
AL021859,15.229518501662447
AL021860,27.027444972007956
AL021861,17.46458616821237
AL021862,34.807943783483275
AL021863,23.601972162330277
AL021864,
AL021865,
AL021866,32.41329056919844
AL021867,31.777064521724608
AL021868,26.467559231509334
AL021869,17.511065103263412
AL021870,28.110575066836734
AL021871,18.747193179267303
AL021872,19.06052019620344
AL021873,22.603783271622188
AL021874,25.799632308718582
AL021875,26.371712668417874
AL021876,29.090866989615837
AL021877,14.532804914875477
AL021878,16.780883026242375
AL021879,31.950093759882876
AL021880,19.086061048134216
AL021881,16.08983408977554
AL021882,22.674959731380362
AL021883,32.37031902143255
AL021884,20.29654815659751
AL021885,34.20721270196895
AL021886,22.42872622672988
AL021887,15.942896827139629
AL021888,14.60092814535357
AL021889,26.163535748509915
AL021890,18.906486568200556
AL021891,19.71734407388421
AL021892,29.3094029015846
AL021893,21.89936249893391
AL021894,8.41746141375137
AL021895,21.725582219430994
AL021896,16.602137406935224
AL021897,23.51424352492289
AL021898,15.182435308301605
AL021899,19.457576867595197
AL021900,23.05284479413037
AL021901,23.60955227193116
AL021902,18.184958159024887
AL021903,24.928779410572684
AL021904,28.76802699719171
AL021905,12.195092970221326
AL021906,17.209284741533097
AL021907,18.222719702588268
AL021908,20.715770807397686
AL021909,12.879822921417764
AL021910,5.710021446927278
AL021911,11.806819402422038
AL021912,15.213399602197507
AL021913,32.56462513587079
AL021915,24.66132346255091
AL021916,11.51554100670367
AL021917,26.403034509936273
AL021918,35.90841009024013
AL021919,15.185363326957713
AL021920,22.551771252271628
AL021921,7.383624927193103
AL021922,25.401645485312635
AL021923,12.929901598894334
AL021924,31.59835973975434
AL021925,24.878493245607824
AL021926,19.659060455492618
AL021927,23.410787159548658
AL021928,19.804214001865503
AL021929,14.810400264863375
