code,peak_size_sqkm
AL162005,724104.2732393063
AL162007,6051442.854928487
AL162008,
AL162010,969782.5088026422
AL162011,1085617.6417985132
AL162012,51721.73380280758
AL162016,107753.61208918248
AL162017,310330.40281684545
AL162018,16757841.752109656
AL162019,620660.805633691
AL162020,86202.88967134597
AL162021,52799.26992369942
AL162022,11724670.531423945
AL162023,882502.0830104044
AL162024,87280.42579223779
AL172005,193956.50176052845
AL172007,606114.0680016514
AL172008,310330.40281684545
AL172010,1163739.0105631705
AL172011,640056.4558097438
AL172012,9865920.722885545
AL172017,2948138.8267600327
AL172019,211197.07969479766
AL172020,2180933.108685053
AL172021,103443.46760561517
AL172022,2430921.4887319566
AL172023,452565.17077456636
AL172024,290934.75264079263
AL182005,1002108.5924293969
AL182010,97247.63491048718
AL182011,310330.40281684545
AL182012,7969457.150115934
AL182017,116373.90105631706
AL182019,756430.3568660609
AL182020,51721.73380280758
AL182021,5042869.04577374
AL182023,204731.8629694467
AL182024,290934.75264079263
AL192005,
AL192010,196111.57400231212
AL192011,2182010.6448059455
AL192012,140079.6957159372
AL192017,655141.9615022293
AL192019,9115955.582744837
AL192020,368517.35334500397
AL192021,107753.61208918248
AL192023,68962.31173707677
AL192024,142234.76795772085
AL202005,266690.18992072664
AL202010,210119.5435739058
AL202011,38791.30035210569
AL202019,1282267.9838612715
AL202020,5342424.0873816665
AL202021,387913.00352105685
AL202023,1099086.8433096611
AL212005,87280.42579223779
AL212010,963047.9080470683
AL212020,129304.33450701897
AL212021,4790725.593485053
AL212023,68962.31173707677
AL222005,656758.2656835672
AL222020,387913.0035210569
AL232005,
AL232020,135769.5512323699
AL242005,211197.07969479766
AL242020,1493465.0635560693
AL252005,2943020.5301857963
AL252020,452565.1707745664
AL262005,45525.901107679594
AL262020,592644.8664905035
AL272005,130381.87062791077
AL272020,3685173.5334500405
AL282005,87280.42579223779
AL282020,1406184.6377638313
AL292005,2559148.2871180833
AL292020,646521.6725350948
AL302005,568939.0718308834
AL302020,835090.4936911641
AL312005,471422.0528901733
AL312020,1002108.5924293969
